ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
GOOG,manual,3,20,selu,0.01211742032049507,0.01971175983617118,189.5973453145982,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,40,tanh,0.012352342316812105,0.019287857632498878,248.8424795987441,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,40,relu,0.01226118787846102,0.019419375295071154,136.04082555752655,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,40,selu,0.01216490538891808,0.019651631180435485,196.83435461296213,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,60,tanh,0.012270252421645592,0.019348729583941234,217.13852410759665,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,60,relu,0.012231232275761233,0.019285291005794056,156.7661020048433,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,60,selu,0.012173657894053988,0.0198409114889065,153.32547164595678,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,corr,3,10,tanh,0.012543778768940524,0.019906843068186148,160.378335700521,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'ADI']"
GOOG,corr,3,10,relu,0.0133425205630794,0.021070680274379427,459.6996013613566,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'ADI']"
GOOG,corr,3,10,selu,0.012476000664363808,0.019411831188221353,198.98413482562003,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'ADI']"
GOOG,corr,3,20,tanh,0.012472453746846874,0.019278247345134777,245.28479873769012,4,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'ADI']"
